link,title,extracted_at_date,price,id
https://es.wallapop.com/item/bicicleta-de-montana-27-5-rockrider-expl-50-gris-claro-1142596895,"Bicicleta de montaña 27,5"" Rockrider Expl 50 gris claro",2025-06-16 10:20:54,221.0,bicicleta-de-montana-27-5-rockrider-expl-50-gris-claro-1142596895
https://es.wallapop.com/item/bicicleta-de-montana-27-5-rockrider-expl-50-rojo-1142596412,"Bicicleta de montaña 27,5"" Rockrider Expl 50 rojo",2025-06-16 10:20:54,221.0,bicicleta-de-montana-27-5-rockrider-expl-50-rojo-1142596412
https://es.wallapop.com/item/bicicleta-montana-28-1142594554,Bicicleta montaña 28,2025-06-16 10:20:54,300.0,bicicleta-montana-28-1142594554
https://es.wallapop.com/item/bicicleta-rockrider-27-5-montana-1142588570,"Bicicleta Rockrider 27.5"" montaña",2025-06-16 10:20:54,200.0,bicicleta-rockrider-27-5-montana-1142588570
https://es.wallapop.com/item/bicicleta-montana-27-5-aluminio-talla-m-1142588432,"Bicicleta montaña 27,5"" Aluminio Talla M",2025-06-16 10:20:54,200.0,bicicleta-montana-27-5-aluminio-talla-m-1142588432
https://es.wallapop.com/item/wilier-503x-pro-bicicleta-mtb-29-1142582663,"Wilier 503X Pro Bicicleta MTB 29""",2025-06-16 10:20:54,720.0,wilier-503x-pro-bicicleta-mtb-29-1142582663
https://es.wallapop.com/item/gt-sanction-enduro-mtb-1142578359,GT Sanction Enduro MTB,2025-06-16 10:20:54,600.0,gt-sanction-enduro-mtb-1142578359
https://es.wallapop.com/item/bicicleta-de-montana-orbea-1142577322,Bicicleta de montaña Orbea ,2025-06-16 10:20:54,220.0,bicicleta-de-montana-orbea-1142577322
https://es.wallapop.com/item/bicicleta-montana-hiland-him036bk-29a431-1142576089,bicicleta montaña hiland him036bk-29a431,2025-06-16 10:20:54,299.0,bicicleta-montana-hiland-him036bk-29a431-1142576089
https://es.wallapop.com/item/bicicleta-montana-conor-wrc-1142576045,bicicleta montaña conor wrc,2025-06-16 10:20:54,399.0,bicicleta-montana-conor-wrc-1142576045
